"File","LOC"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\uat\kill_switch.py","132"
".\scripts\data\fetch_candles_alphavantage.py","131"
".\src\governance\shadow_promotion_gate.py","131"
".\.claude\worktrees\wizardly-neumann-923c0e\fusion_engine.py","131"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\governance\shadow_promotion_gate.py","131"
".\scripts\training\train_rr_model.py","130"
".\scripts\data\fetch_crypto_ccxt.py","129"
".\src\monitoring\health_checker.py","129"
".\src\runtime\analyze_fusion_shadow.py","129"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\monitoring\health_checker.py","129"
".\results\trust\volregime_measure.py","129"
".\scripts\analysis\detection_sweep.py","129"
".\src\strategies\s03_breakout.py","128"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\s03_breakout.py","128"
".\src\interpreters\regime_observer.py","127"
".\src\strategies\s07_news_sentiment.py","126"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\strategies\s07_news_sentiment.py","126"
".\scripts\data\build_m15_unified.py","125"
".\src\agent\executor.py","125"
